Style,Style#,Category,OGMin,OGMax,FGMin,FGMax,ABVMin,ABVMax,IBUMin,IBUMax,ColorMin,ColorMax,CO@Min,CO2Max
Altbier,7B,Amber Bitter European Beer,1.044,1.052,1.008,1.014,4.3,5.5,25,50,11,17,2.16,3.09
American Amber Ale, 19A,Amber & Brown American Beer,1.045,1.06,1.01,1.015,5.5,6.2,25,40,10,17,2.26,2.78
American Barleywine,22C,Strong American Ale,1.08,1.12,1.016,1.03,8,12,50,100,10,19,1.3,2.3
American Brown Ale, 19C,Amber & Brown American Beer,1.045,1.06,1.01,1.016,4.3,6.2,20,30,18,35,2.26,2.78
American IPA, 21A,IPA,1.056,1.07,1.008,1.014,5.5,7.5,40,70,6,14,2,2.5
American Lager,1B,Standard American Beer,1.04,1.05,1.004,1.01,4.3,5.3,8,18,2,4,2.57,2.73
American Light Lager,1A,Standard American Beer,1.028,1.04,0.998,1.008,2.8,4.2,8,12,2,3,2.57,2.73
American Pale Ale,18B,Pale American Ale,1.045,1.06,1.01,1.015,4.5,6.2,30,50,5,10,2.26,2.78
American Porter,20A,American Porter & Stout,1.05,1.07,1.012,1.018,4.8,6.5,25,50,22,40,2.5,3
American Stout, 20B,American Porter & Stout,1.05,1.075,1.01,1.012,5,7,35,75,30,40,2.5,3
American Strong Ale,22B,Strong American Ale,1.062,1.09,1.014,1.024,6.3,10,50,100,7,19,2,2.25
American Wheat Beer, 1D,Standard American Beer,1.04,1.055,1.008,1.013,4,5,15,30,3,6,2.3,2.6
Baltic Porter, 9C,Strong European Beer,1.06,1.09,1.016,1.024,6.5,9.5,20,40,17,30,2.2,2.4
Belgian Blond Ale,25A,Strong Belgian Ale,1.062,1.075,1.008,1.018,6,7.5,15,30,4,7,3,4
Belgian Dark Strong Ale,26D,Trappist Ale,1.075,1.11,1.01,1.024,8,12,20,35,12,22,3.3,4
Belgian Dubbel, 26B,Trappist Ale,1.062,1.075,1.008,1.018,6,7.6,15,25,10,17,3,4
Belgian Golden Strong Ale,25C,Strong Belgian Beer,1.07,1.095,1.005,1.016,7.5,10.5,22,35,3,6,3,4
Belgian IPA,21b,IPA,1.058,1.08,1.008,1.01,6.2,9.5,50,100,5,15,2.5,2.5
Belgian Pale Ale, 24B,Belgian Ale,1.048,1.054,1.01,1.014,4.8,5.5,20,30,8,14,2.5,2.5
Belgian Tripel, 26C,Trappist Ale,1.075,1.085,1.008,1.014,7.5,9.5,20,40,4.5,7,3,4
Berliner Weisse,23A,European Sour Ale,1.028,1.032,1.003,1.006,2.8,3.8,3,8,2,3,3.5,4
Best Bitter,11B,British Bitter,1.04,1.048,1.008,1.012,3.8,4.6,25,40,8,16,0.75,1.3
Biere de Garde, 24C,Belgian Ale,1.06,1.08,1.008,1.016,6,8.5,18,28,6,19,3.3,3.5
Black IPA,21B,IPA,1.05,1.085,1.01,1.018,5.5,9,50,90,25,40,1.5,2.3
Blonde Ale, 18A,Pale American Ale,1.038,1.054,1.008,1.013,3.8,5.5,15,28,3,6,2.3,2.6
Brett Beer, 28A,American Wild Ale,1.02,1.09,1,1.016,2,10,5,50,2,50,0.5,4
British Brown Ale,13B,Brown British Beer,1.04,1.052,1.008,1.013,4.2,5.4,20,30,12,22,1.5,2.3
British Golden Ale,12A, Pale Commonwealth Beer,1.038,1.053,1.006,1.012,3.8,5,20,45,2,6,1.5,2.3
British Strong Ale,17A, Strong British Ale,1.055,1.08,1.015,1.022,5.5,8,30,60,8,22,1.5,2.3
Brown IPA, 21B, IPA,1.056,1.07,1.008,1.016,5.5,7.5,4,70,11,19,1.5,2.3
California Common, 19B, Amber & Brown American Beer,1.048,1.054,1.011,1.014,4.5,5.5,30,45,10,14,2.4,2.8
Classic Style Smoked Beer, 32A, Smoked Beer,1.02,1.09,1.006,1.016,2,10,5,50,2,50,2.16,2.57
Cream Ale,1C, Standard American Beer,1.042,1.055,1.006,1.012,4.2,5.6,8,20,2.5,5,2.6,2.7
Czech Amber Lager,3C, Czech Lager,1.044,1.06,1.013,1.017,4.4,5.8,20,35,10,16,2,2.5
Czech Dark Lager, 3D, Czech Lager,1.044,1.06,1.013,1.017,4.4,5.8,18,34,14,35,2,2.5
Czech Pale Lager, 3A, Czech Lager,1.028,1.044,1.008,1.014,3,4.1,20,35,3,6,2,2.5
Czech Premium Lager,3B, Czech Lager,1.044,1.06,1.013,1.017,4.2,5.8,30,45,3.5,6,2,2.5
Dark Mild, 13A, Brown British Beer,1.03,1.038,1.008,1.013,3,3.8,10,25,12,25,1.3,2
Doppelbock, 9A, Strong European Beer,1.072,1.112,1.016,1.024,7,10,16,26,6,25,2.26,2.62
Double IPA,22A, Strong American Ale,1.065,1.085,1.008,1.018,7.5,10,20,27,6,14,2,2.5
Dunkles Bock, 6C, Amber Malty European Lager,1.064,1.072,1.013,1.019,6.3,7.2,20,27,14,22,2.4,2.5
Dunkles Weissbier, 10B, German Wheat Beer,1.044,1.056,1.01,1.014,4.3,5.6,10,18,14,23,3.6,4.48
Eisbock,9B, Strong European Beer,1.078,1.12,1.02,1.035,9,14,25,35,18,30,2.37,2.5
English Barleywine,17D, Strong British Ale,1.08,1.12,1.018,1.03,8,12,35,70,8,22,1.3,2.3
English IPA, 12c, Pale Commonwealth Beer,1.05,1.075,1.01,0.018,5,7.5,40,60,6,14,1.5,2.3
English Porter,13C, Brown British Beer,1.04,1.052,1.008,1.014,4,5.4,18,35,20,30,1.7,2.5
Festbier, 4B, Pale Malty European Lager,1.054,1.057,1.01,1.012,5.8,6.3,18,25,4,7,2.57,2.73
Flanders Red Ale,23B, European Sour Ale,1.048,1.057,1.002,1.012,4.6,6.5,10,25,10,16,2,2.5
Foreign Extra Stout, 16D, Dark British Beer,1.056,1.075,1.01,1.018,6.3,8,50,70,30,40,2.3,2.6
