Hop,Country,AlphaMin,AlphaMax
3-6-9 Experimental (Simcoe Sister Strain) (US),United States,10.7%,10.7%
Admiral (UK),United Kingdom,13.5%,16.0%
Ahtanum (US),United States,5.7%,6.3%
Amarillo (US),United States,9.3%,9.3%
Apollo (US),United States,18.0%,21.0%
Bramling Cross (UK),United Kingdom,5.0%,7.0%
Bravo (US),United States,13.0%,13.0%
Brewers Gold (DE),Germany,5.5%,6.5%
Brewers Gold (US),United States,8.0%,10.0%
Bullion (DE),Germany,6.5%,9.0%
Calypso (US),United States,12.0%,14.0%
Cascade (NZ),New Zealand,6.0%,8.0%
Cascade (US),United States,6.0%,8.0%
Centennial (US),United States,9.5%,11.5%
Challenger (UK),United Kingdom,6.5%,8.5%
Chelan (US),United States,12.0%,14.5%
Chinook (US),United States,11.0%,13.0%
Citra (US),United States,13.3%,14.0%
Cluster (US),United States,5.5%,8.5%
Columbus (US),United States,14.0%,16.0%
Comet (US),United States,9.5%,9.5%
Crystal (US),United States,3.5%,5.5%
Delta (US),United States,5.5%,7.0%
East Kent Golding (UK),United Kingdom,4.0%,6.0%
El Dorado (US),United States,15.0%,17.0%
Ella (Stella) (AU),Australia,15.0%,15.0%
Endeavour (UK),United Kingdom,8.0%,10.5%
Eroica (US),United States,10.0%,14.0%
Falconer's Flight (US),United States,10.5%,10.5%
First Gold (UK),United Kingdom,6.5%,8.5%
Fuggle (UK),United Kingdom,4.0%,5.5%
Fuggle (US),United States,4.0%,5.5%
Galaxy (AU),Australia,13.5%,14.8%
Galena (US),United States,11.0%,15.0%
German Spalt Select (DE),Germany,5.5%,5.5%
Glacier (US),United States,4.9%,7.1%
Golding (UK),United Kingdom,4.0%,5.5%
Golding (US),United States,4.0%,5.0%
Green Bullet (NZ),New Zealand,11.0%,13.0%
Hallertau (DE),Germany,3.5%,5.5%
Hallertauer Aroma (NZ),New Zealand,6.5%,8.5%
Hallertauer Tradition (DE),Germany,3.5%,5.5%
Hallertau Gold (DE),Germany,6.0%,6.5%
Hallertau (US),United States,3.5%,5.5%
Herald (UK),United Kingdom,12.0%,12.0%
Herkules (DE),Germany,12.0%,17.0%
Hersbrucker (DE),Germany,3.0%,5.5%
Horizon (US),United States,11.0%,13.0%
Kohatu (AU),Australia,6.5%,6.5%
Liberty (US),United States,3.0%,5.0%
Magnum (DE),Germany,14.6%,14.8%
Magnum (US),United States,12.0%,14.0%
Merkur (DE),Germany,12.0%,15.0%
Millenium (US),United States,15.5%,15.5%
Mosaic (US),United States,11.5%,13.5%
Motueka (NZ),New Zealand,6.5%,7.5%
Mount Hood (US),United States,5.0%,8.0%
Mount Rainier (US),United States,5.0%,8.1%
