Name,Laboratory,ProductID,Type,AlcoholTolerance,Flocculation
Abbaye,Fermentis,,Dry,High,High
Abbey Ale Yeast,White Labs,WLP530,Liquid,High,Medium-High
Abbey IV Ale Yeast,White Labs,WLP540,Liquid,High,Medium
Amalgamation - Brett Super Blend,The Yeast Bay,,Liquid,Medium-High,Medium-Low
American Ale,Wyeast,1056,Liquid,High,Medium-Low
American Ale II,Wyeast,1272,Liquid,Medium,Medium-High
American Ale Yeast Blend,White Labs,WLP060,Liquid,Medium-High,Medium
American Hefeweizen Ale Yeast,White Labs,WLP320,Liquid,Medium,Low
American Lager Yeast,White Labs,WLP840,Liquid,Medium,Medium
American Lager Yeast,Wyeast,2035,Liquid,Medium,Medium
American Wheat,Wyeast,1010,Liquid,Medium,Low
Antwerp Ale Yeast,White Labs,WLP515,Liquid,Medium,Medium
Australian Ale Yeast,White Labs,WLP009,Liquid,Medium,High
Bavarian Lager,Wyeast,2206,Liquid,Medium,Medium-High
Bavarian Weizen,White Labs,WLP351,Liquid,Medium,Low
Bavarian Wheat,Wyeast,3638,Liquid,Medium,Low
Bavarian Wheat,Mangrove Jack's,M20,Dry,,
Bavarian Wheat Blend,Wyeast,3056,Liquid,Medium,Medium
Bedford British,White Labs,WLP006,Liquid,Medium,High
Beersel Brettanomyces Blend,The Yeast Bay,,Liquid,Medium,Medium-Low
Belgian Abbey,Wyeast,1214,Liquid,High,Medium-Low
Belgian Abbey II,Wyeast,1762,Liquid,High,Medium
Belgian Ale,Mangrove Jack's,M27,Dry,,
Belgian Ale Yeast,White Labs,WLP550,Liquid,Medium-High,Medium
Belgian Ardennes,Wyeast,3522,Liquid,High,High
Belgian Bastogne Ale Yeast,White Labs,WLP510,Liquid,High,Medium
Belgian Golden Ale Yeast,White Labs,WLP570,Liquid,High,Low
Belgian Lambic Blend,Wyeast,3278,Liquid,High,Variable
Belgian Saison II Yeast,White Labs,WLP566,Liquid,Medium,Medium
Belgian Saison I Yeast,White Labs,WLP565,Liquid,Medium,Medium
Belgian Saison Yeast,Wyeast,3724,Liquid,High,Low
Belgian Sour Mix I,White Labs,WLP655,Liquid,Medium-High,Medium-Low
Belgian Strong Ale,Wyeast,1388,Liquid,Very High,Low
Belgian Strong Ale Yeast,White Labs,WLP545,Liquid,High,Medium
Belgian Style Ale Yeast Blend,White Labs,WLP575,Liquid,Medium-High,Medium
Belgian Style Saison Ale Yeast Blend,White Labs,WLP568,Liquid,Medium,Medium
Belgian Wheat,Wyeast,3942,Liquid,High,Medium
Belgian Wit Ale Yeast,White Labs,WLP400,Liquid,Medium,Medium-Low
Belgian Witbier,Wyeast,3944,Liquid,High,Medium
Belgian Wit II,White Labs,,Liquid,Medium,Medium-Low
Belgian Wit II Ale Yeast,White Labs,WLP410,Liquid,Medium,Medium-Low
Belle Saison,Danstar,,Dry,High,Low
Berliner Weisse Blend,White Labs,WLP630,Liquid,Medium-High,Medium
Bohemian Lager,Wyeast,2124,Liquid,Medium,Medium-Low
Bohemian Lager,Mangrove Jack's,M27,Dry,,
Brettanomyces Bruxellensis,Wyeast,5112,Liquid,High,Medium
Brettanomyces Bruxellensis,White Labs,WLP650,Liquid,Medium-High,Low
Brettanomyces Claussenii,White Labs,WLP645,Liquid,Medium-High,Low
Brettanomyces Lambicus,White Labs,WLP653,Liquid,Medium-High,Low
Brettanomyces Lambicus,Wyeast,5526,Liquid,High,Medium
British Ale,Mangrove Jack's,M07,Dry,,
British Ale,Wyeast,1098,Liquid,Medium,Medium
British Ale II,Wyeast,1335,Liquid,Medium,High
British Ale Yeast,White Labs,WLP005,Liquid,Medium-High,Medium-High
Brussels Brettanomyces Blend,The Yeast Bay,,Liquid,Medium,Medium-Low
Budvar Lager,Wyeast,2000,Liquid,Medium,Medium-High
Burton Ale Yeast,White Labs,WLP023,Liquid,Medium,Medium
Burton Union,Mangrove Jack's,M79,Dry,,
California Ale,White Labs,WLP001,Liquid,High,Medium
California Ale Yeast,White Labs,WLP001,Liquid,High,Medium
California Lager,Wyeast,2112,Liquid,Medium,High
California V Ale Yeast,White Labs,WLP051,Liquid,Medium-High,Medium-High
Cider,Mangrove Jack's,M02,Dry,,
Cream Ale Yeast Blend,White Labs,WLP080,Liquid,Medium-High,Medium
Cry Havoc,White Labs,WLP862,Liquid,,Low
Czech Budejovice Lager Yeast,White Labs,WLP802,Liquid,Medium,Medium
Czech Pils,Wyeast,2279,Liquid,Medium,Medium-High
Danish Lager,Wyeast,2042,Liquid,Medium,Low
Denny's Favorite 50,Wyeast,1450,Liquid,Medium,Low
Dry Belgian Ale,The Yeast Bay,,Liquid,Medium,Medium-Low
Dry English Ale Yeast,White Labs,WLP007,Liquid,Medium-High,Medium-High
Dusseldorf Alt Yeast,White Labs,WLP036,Liquid,Medium,Medium
East Coast Ale Yeast,White Labs,WLP008,Liquid,Medium-High,Medium-High
East Midlands Ale Yeast,White Labs,WLP039,Liquid,Medium,Medium-High
Edinburgh Scottish Ale Yeast,White Labs,WLP028,Liquid,Medium-High,Medium
English Ale Yeast,White Labs,WLP002,Liquid,Medium,Very High
European Ale,Wyeast,1338,Liquid,Medium,High
European Ale Yeast,White Labs,WLP011,Liquid,Medium,Medium
Farmhouse Sour Ale,The Yeast Bay,,Liquid,Medium-High,Medium-Low
Forbidden Fruit,Wyeast,3463,Liquid,High,Low
French Ale,White Labs,WLP072,Liquid,Medium,Medium-High
French Saison,Wyeast,3711,Liquid,High,Low
Funktown Pale Ale,The Yeast Bay,,Liquid,Medium,Medium-Low
German Ale,Wyeast,1007,Liquid,High,Low
German Ale II,White Labs,WLP003,Liquid,Medium,Medium
German Ale/K�lsch Yeast,White Labs,WLP029,Liquid,Medium,Medium
German Bock Lager Yeast,White Labs,WLP833,Liquid,Medium-High,Medium
German Lager Yeast,White Labs,WLP830,Liquid,Medium,Medium
German Wheat,Wyeast,3333,Liquid,Medium,High
Hefeweizen Ale Yeast,White Labs,WLP300,Liquid,Medium,Low
Hefeweizen IV Ale Yeast,White Labs,WLP380,Liquid,Medium,Low
Irish Ale,Wyeast,1084,Liquid,High,Medium
Irish Ale Yeast,White Labs,WLP004,Liquid,Medium-High,Medium-High
K�lsh,Wyeast,2565,Liquid,Medium,Low
Lactobacillus,Wyeast,5335,Liquid,Medium,N/A
Lactobacillus Delbrueckii,White Labs,WLP677,Liquid,Medium-High,Low
Lochristi Brettanomyces Blend,The Yeast Bay,,Liquid,Medium,Medium-Low
London Ale,Wyeast,1028,Liquid,High,Medium-Low
London Ale III,Wyeast,1318,Liquid,Medium,High
London Ale Yeast,White Labs,WLP013,Liquid,Medium,Medium
London ESB Ale,Wyeast,1968,Liquid,Medium,Very High
Manchester Ale Yeast,White Labs,WLP038,Liquid,Medium-High,Medium-High
Mexican Lager Yeast,White Labs,WLP940,Liquid,Medium,Medium
Munich Helles,White Labs,WLP860,Liquid,Medium,Medium
Munich Lager,Wyeast,2308,Liquid,Medium,Medium
Newcastle Dark Ale,Mangrove Jack's,M03,Dry,,
Northeastern Abbey,The Yeast Bay,,Liquid,Medium,Medium-Low
Northwest Ale,Wyeast,1332,Liquid,Medium,High
Nottingham Ale Yeast,White Labs,WLP039,Liquid,Medium,Medium-High
Oktoberfest/M�rzen Lager Yeast,White Labs,WLP820,Liquid,Medium-High,Medium
Old Bavarian Lager Yeast,White Labs,WLP920,Liquid,Medium-High,Medium
